,completeness,energy-kcal_100g,energy_100g,fat_100g,saturated-fat_100g,carbohydrates_100g,sugars_100g,proteins_100g,salt_100g,sodium_100g
0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.2625,165.0,690.0,2.0,2.0,65.0,12.6,1.5,0.0,0.0
2,0.4875,0.0,0.0,1.4,0.9,9.8,9.8,2.7,0.1,0.04
3,0.575,57.0,238.0,0.2,0.1,3.9,3.9,10.0,0.09,0.036
4,0.275,375.0,1569.0,7.0,3.08,70.1,15.0,7.8,1.4,0.56
5,0.2625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.275,163.9,685.8,1.9,1.0,0.0,0.0,15.3,1.1,0.44
7,0.375,194.0,812.0,11.0,3.9,5.7,0.05,18.0,0.0,0.0
8,0.375,874.9,3661.0,15.1,6.1,2.6,1.0,15.7,2.1,0.84
9,0.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.7625,0.0,936.0,8.2,2.2,29.0,22.0,5.1,4.6,1.84
12,0.275,21.0,88.0,0.0,0.0,4.8,0.4,0.2,2.04,0.816
13,0.275,60.0,251.0,3.0,1.0,10.0,3.0,2.0,1.15,0.46
14,0.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.275,52.0,218.0,0.5,0.1,12.0,11.0,0.5,0.0,0.0
16,0.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.1625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.1625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.2625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.375,63.0,264.0,0.0,0.0,15.5,15.5,0.2,0.0,0.0
22,0.1625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.1625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.375,32.0,134.0,0.3,0.1,5.3,3.9,0.9,0.42,0.168
26,0.275,129.0,540.0,4.9,3.1,16.3,16.3,4.4,0.25,0.1
27,0.4,155.0,649.0,10.6,3.3,1.1,1.1,12.6,0.0,0.0
28,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.475,73.0,305.0,4.3,3.0,4.3,1.6,3.3,0.1,0.04
31,0.275,222.0,929.0,3.3,2.1,38.4,1.8,11.7,0.678,0.2712
32,0.475,0.0,2415.0,44.0,28.0,30.0,27.0,7.1,0.025,0.01
33,0.275,290.0,1213.0,9.4,4.5,41.0,2.0,12.5,0.9,0.36
34,0.3875,219.0,916.0,5.9,0.5,30.3,1.7,9.7,0.464,0.1856
